beneficiary,managedAmount,startTime,endTime,periods,revocable,releaseStartTime,vestingCliffTime
0xc6d554bC6e9f21CBf460aDFE38d7a462D9A5755B,3640,1684771200,1700672400,1,2,0,0
0x14a13f0675eA2744D661251e7dC8B5E5824816B2,130132.45,1684771200,1700672400,1,2,0,0
0xB5b45aa6ffceaCAf9fd916E1719035294c4Ee783,116433.1,1684771200,1700672400,1,2,0,0
0x7Fb3b6d222CE75121D0edD4cE0248EC10b498b3D,106381.45,1684771200,1700672400,1,2,0,0
0x09e23Cd3C107F99820b3D057d0442817474CDE46,88258.1,1684771200,1700672400,1,2,0,0
0xB0B70F63196eAa85f13676f6Ae1BD1F9f0e737C7,54613.16,1684771200,1700672400,1,2,0,0
0x462F666D45c514c1dEe9b01e2eB434716F3dd0f6,24293.5,1684771200,1700672400,1,2,0,0
0xD81049dC880AE7E181d7A99E9B065c4Bc6e37096,115676.47,1684771200,1700672400,1,2,0,0
0xaFaF2B5e2Bb6eE52D257D3EAfbECdc33D73a58E4,128302.3,1684771200,1700672400,1,2,0,0
0xAE6E6aa47519A3A24edc467221ef67aA8CeaE170,94941,1684771200,1700672400,1,2,0,0
0xaE1887f6a195b69213e59A14a1b6a5dBf71EA67A,112786.1,1684771200,1700672400,1,2,0,0
0xA12cC007305Ab9A763158259D6C5687fC1be4C7E,103562.55,1684771200,1700672400,1,2,0,0
0x96afA93F429027D730996F833cE709b6f92e711f,53228,1684771200,1700672400,1,2,0,0
0xa9b5Da22440DEDd72535EC0525582Ca0B63bE5E1,114985.57,1684771200,1700672400,1,2,0,0
0xF1E25e8E3AFe119321C7A8Ebe4E4B1C67F8c3338,121557.1,1684771200,1700672400,1,2,0,0
0x965719d1FEcFD64456eFa46f218E31305D3A4321,85991.85,1684771200,1700672400,1,2,0,0
0x76bED0EC68cFAa75d66cF924B1543F7865A20808,116342.8,1684771200,1700672400,1,2,0,0
0xEB8e8Be162C572bB882B1feeC0a0B9EdA3D91efe,77448.7,1684771200,1700672400,1,2,0,0
0xA73c083a98579854DEeA4bD007187f5a1366A898,132129.55,1684771200,1700672400,1,2,0,0
0xa3C1Cfa7d882C8e30b62ED1D9c5C67edC5c09878,82362.35,1684771200,1700672400,1,2,0,0
0xF7C94Ae30F7fC5E58b45edEbe6eAEBee3bE9eAC7,110824,1684771200,1700672400,1,2,0,0
0xa260FCC32d493e3c5f03DF674f3A852248a9dc4A,103058.48,1684771200,1700672400,1,2,0,0
0xE49F474B4B9582eCE5ED8BBa3C2cB350233995d6,109518.15,1684771200,1700672400,1,2,0,0
0xa058fB7747219B517D11625BddEc999f4cf7eFc5,102662.35,1684771200,1700672400,1,2,0,0
0xf9fa1EB0172a66C4cbB62423866536a274Db7678,128239.3,1684771200,1700672400,1,2,0,0
0x9EA50b41B46aA1b5ba334F14193d970a443ee840,100517.2,1684771200,1700672400,1,2,0,0
0x9E8DecCC2ab480d677cb6A6Bf0eDbf772c01E079,12694.5,1684771200,1700672400,1,2,0,0
0xA1aBe898dD6aAFd6E30F274F2E00579Ae8d9a3A3,39174.1,1684771200,1700672400,1,2,0,0
0xF6253fE536399EE1DC5da55d09E59fd1c6f7630B,91322.35,1684771200,1700672400,1,2,0,0
0x9A8bE56015D32995E82745e14cB9d5Dfb0cFAC9d,79795.8,1684771200,1700672400,1,2,0,0
0x06100675344A3E074F6fb63Ee867d8790cD8747e,95118.1,1684771200,1700672400,1,2,0,0
0x981Df2F7378065303503233e04a97325e56A4448,73527.58,1684771200,1700672400,1,2,0,0
0xCff7E1675Ed5492D93B1dA146482670299B255DE,106239.7,1684771200,1700672400,1,2,0,0
0xd175bb697772C0d056E2062d8DcFa2cDf95600D2,84837.55,1684771200,1700672400,1,2,0,0
0x96Bd4546E8E3F01202a618BB33A2e44B4cf4792F,116473,1684771200,1700672400,1,2,0,0
0x9603302020F536F65CB96145DBa8Dd2EFAC546a4,94164.35,1684771200,1700672400,1,2,0,0
0x43594a012eE97541beEd7de2499Ef36cb3B9842c,63927.15,1684771200,1700672400,1,2,0,0
0x6A09422844bBC25192A15F3C909179638b4e8089,6825,1684771200,1700672400,1,2,0,0
0xB72ee0fceDe2645983dC74809512efa3ABE6b341,127428.35,1684771200,1700672400,1,2,0,0
0xeE515d9B12Dc6e05D3839A982bCeb412A483e249,89394.55,1684771200,1700672400,1,2,0,0
0x7d41f19267A17e15908ed950D893E26EE8Fb697E,105277.55,1684771200,1700672400,1,2,0,0
0xc4c451224695d375395aA98FDD64110348c2640E,122290,1684771200,1700672400,1,2,0,0
0xDa8E435d1659558a8813EADf36945bE8041D7374,43002.05,1684771200,1700672400,1,2,0,0
0x92254E03437b3733912Fd74C98f590b038E38379,123490.5,1684771200,1700672400,1,2,0,0
0x8f689a83Dd52EAa1D5AD6A40C46189b4A0d70b06,129834.25,1684771200,1700672400,1,2,0,0
0xCcB9A031f8b68d68Af74d24F3D056325C4540eB0,101158.75,1684771200,1700672400,1,2,0,0
